age,income,credit_score,loan_amount,debt_to_income,employment_years,previous_defaults,loan_approved
58,30539,651,12941,0.54,1,0,1
48,132941,677,19388,0.57,24,0,1
34,78351,662,10569,0.38,25,0,1
62,86267,532,9300,0.45,8,0,1
27,148133,678,44037,0.56,16,0,1
40,73354,600,41586,0.45,25,0,1
58,27557,767,17015,0.18,2,0,1
38,63360,822,11254,0.39,23,0,1
42,107018,564,22144,0.4,5,0,1
30,27200,667,29214,0.31,4,0,1
30,137476,829,45118,0.47,4,0,1
43,93497,542,20183,0.57,21,0,1
55,71975,543,11238,0.56,14,0,1
59,46357,784,11090,0.33,22,0,1
43,144121,511,16637,0.16,16,0,1
22,102505,594,27415,0.59,8,0,1
41,27869,801,29071,0.52,2,0,1
21,86135,752,47679,0.16,19,1,1
43,75108,741,46240,0.56,25,0,1
63,137296,534,23271,0.53,16,0,1
49,119179,714,41034,0.36,28,0,1
57,115272,836,38434,0.4,26,0,1
21,63467,589,9188,0.3,9,0,1
40,48328,763,15161,0.13,2,2,1
52,144181,592,33732,0.27,17,0,1
31,116412,589,16314,0.5,17,0,1
41,111831,614,28954,0.1,29,0,1
63,28987,604,26508,0.27,16,0,1
44,83871,695,26969,0.3,23,0,1
68,47399,813,42545,0.37,2,0,1
46,71214,613,41668,0.56,2,0,1
61,124522,574,28061,0.27,5,0,1
47,111416,716,18716,0.27,12,0,1
35,95271,776,44749,0.47,23,0,1
34,69064,748,44144,0.33,28,0,1
66,95091,663,21907,0.21,14,0,1
63,132450,691,23777,0.33,24,0,1
22,65818,726,32693,0.17,8,0,1
56,70525,676,47928,0.19,3,0,1
26,44830,598,31329,0.35,13,0,1
40,42429,535,21282,0.31,4,1,0
28,31893,595,28624,0.56,1,0,0
58,141381,651,28321,0.28,10,0,1
37,104909,650,15488,0.39,8,0,1
23,72333,689,27574,0.42,23,0,1
44,28436,723,10240,0.11,2,0,1
33,99290,536,48221,0.43,26,0,1
69,101213,767,15478,0.19,27,1,1
28,30895,682,24262,0.58,28,0,1
45,44738,512,9432,0.17,8,0,1
21,55746,778,34721,0.31,2,0,1
39,74377,716,18568,0.14,24,1,1
47,73404,785,19178,0.6,1,0,1
66,79045,772,27195,0.35,11,1,1
26,122888,561,5302,0.4,9,0,1
63,64790,583,22022,0.13,8,1,1
27,132455,716,5055,0.47,14,0,1
66,30600,841,13717,0.2,7,1,1
54,119660,686,33699,0.55,24,0,1
