town,area,price
Springfield,1355,317383
Springfield,2431,453231
Springfield,1567,330162
Springfield,1896,348820
Riverdale,2608,554642
Springfield,1436,301135
Riverdale,1885,495854
Riverdale,1927,491998
Riverdale,1899,504808
Springfield,1559,364864
Springfield,1586,340237
Oakwood,1646,254161
Springfield,2911,517224
Springfield,2095,403970
Springfield,1396,293770
Springfield,1615,359656
Springfield,1347,313656
Oakwood,1196,229736
Springfield,2032,407156
Riverdale,1780,463015
Oakwood,947,210961
Springfield,1357,294896
Riverdale,2617,592311
Riverdale,2380,540297
Oakwood,1848,288941
Riverdale,890,361038
Springfield,1232,313477
Riverdale,2090,519742
Riverdale,1805,487574
Springfield,1476,319593
Oakwood,1550,268831
Oakwood,1241,233027
Oakwood,1811,283800
Oakwood,1189,219678
Springfield,2309,422700
Oakwood,1401,240749
Riverdale,2002,494497
Springfield,1735,364260
Riverdale,1728,489999
Oakwood,824,188014
Springfield,1840,364310
Riverdale,2103,520450
Springfield,1935,382089
Springfield,2257,432118
Springfield,1479,348240
Riverdale,2493,612829
Springfield,1602,356087
Springfield,1839,363127
Riverdale,2204,521249
Springfield,1375,322103
Riverdale,2510,568181
Springfield,1486,323489
Oakwood,1292,238301
Riverdale,2313,569962
Riverdale,2037,501062
Oakwood,1477,258133
Springfield,2319,415272
Oakwood,1475,253589
Riverdale,2313,560768
Springfield,1917,369324
Springfield,1869,356027
Riverdale,1604,457691
Riverdale,1824,452751
Riverdale,2681,603595
Riverdale,1766,470157
Springfield,1444,311042
Oakwood,1663,265589
Riverdale,2206,557910
Riverdale,1496,428749
Riverdale,1664,462609
Oakwood,1362,246793
Oakwood,1145,203626
Oakwood,1122,211460
Riverdale,2286,547746
Riverdale,2315,527921
Oakwood,1417,233185
Oakwood,1661,278456
Riverdale,1511,412783
Oakwood,1491,254217
Oakwood,1554,296157
Oakwood,1799,290787
Oakwood,1305,241564
Springfield,1866,361081
Springfield,2725,448991
Springfield,1634,347282
Springfield,1611,359654
Springfield,2424,442808
Springfield,1507,334086
Springfield,2755,508251
