,Mileage,age,sell price,new prices
0,154291,12,6034,7103.000734417321
1,21243,2,39444,37803.68742385062
2,85241,7,21276,22647.953385900197
3,82258,8,19371,20832.737237442565
4,139069,14,2500,4185.673640759451
5,164521,12,4530,6314.856154758396
6,121815,10,12172,13695.10008228552
7,210000,14,2500,-1279.0265723185148
8,153107,9,10855,13329.32063880135
9,65835,5,31693,28233.107508339046
10,111647,9,13614,16523.50189712581
11,91124,6,23619,24239.746339733105
12,109041,13,6469,8544.139126374546
13,123262,13,6809,7448.518005423459
14,11530,1,43663,40597.0349098791
15,188715,15,2500,-1684.2112352514378
16,72802,6,25406,25651.31867487591
17,158197,13,3786,4757.038935004617
18,187815,14,2500,430.1608665606036
19,107513,9,14799,16841.995513187394
