Mileage,age,sell price
118039,7,21191
46466,4,30465
126522,13,4833
149349,15,2000
118714,11,7781
84603,8,19603
88023,13,13924
75796,5,23074
83729,7,24056
119315,10,14218
42134,3,35653
65544,7,26001
111146,11,9654
144578,11,9373
94712,8,18136
64311,5,23364
47199,4,32250
91172,8,17971
124670,8,18357
43993,3,33748
34518,6,30149
78504,5,27357
34793,2,36690
120635,8,15916
137570,12,8578
143878,14,2000
82917,6,22846
20904,2,36957
154684,12,7711
59726,5,27429
15045,1,41108
132316,12,6320
108929,10,13312
77673,6,23404
218849,13,2000
146429,12,3746
98629,9,14259
14143,1,40385
151748,11,5393
105834,11,9824
159893,15,2000
147413,10,5990
156840,12,8034
69909,12,12025
198074,15,2000
200425,14,2000
138684,14,6527
205394,15,2000
220000,14,2000
38972,3,36997
125231,12,7752
74856,7,21077
48130,4,31808
116499,9,17874
36471,3,33991
66269,5,30920
34897,3,35929
87160,7,24405
72060,5,27790
84041,9,17746
85902,7,25369
24528,2,38907
57206,4,31268
102898,9,18067
163591,12,5617
206594,14,2000
14750,2,36928
149215,10,7819
85828,9,17187
92651,10,14323
24006,5,31375
19984,2,37659
47951,4,32717
132500,12,8488
162655,15,2000
110625,12,9272
99176,7,23049
172752,12,2486
169588,13,3123
58269,8,22469
220000,15,2000
37102,3,37831
186886,14,2000
8254,1,40899
47885,4,33241
26066,2,40697
93182,8,19824
56721,4,31092
30501,2,40961
120976,14,7830
84751,6,22292
77915,6,25083
119882,10,13334
32291,4,37362
94197,6,24628
168895,13,2000
113128,15,4864
22784,2,34898
128180,10,13555
159197,12,5587
23361,2,41020
128539,10,11287
220000,14,2000
63465,4,29221
134766,14,2000
157616,15,2000
175829,15,2000
61018,8,25107
121050,14,2000
55620,7,29789
109568,12,6723
139266,9,15087
138066,14,2000
75458,8,22667
71035,5,25970
141397,13,7979
26093,2,38356
152693,15,2000
37476,5,31654
105354,8,18663
81214,10,18486
96513,9,16160
122011,12,6198
149860,12,2813
127321,12,8223
151848,13,2400
72887,9,15761
220000,13,2000
134995,15,2000
195044,13,2000
12374,1,41631
111170,9,13659
90202,7,21820
65692,9,24863
115327,8,16002
10722,1,39794
180311,12,2125
92975,8,17892
88509,8,20026
131579,15,2841
110948,11,11815
39167,3,35013
8730,1,42536
56188,8,27051
29568,3,35546
42300,3,34778
16453,1,42959
113371,11,12537
40639,5,30406
111421,10,15433
87217,7,20191
134447,10,10412
156029,9,8534
150805,12,6455
112970,7,21222
97584,9,17536
97731,8,19022
126213,12,6504
20599,2,37523
11341,1,39452
79088,7,18556
73430,7,22806
148776,14,2000
117935,8,20793
86413,5,28756
32261,3,36839
134268,12,11456
106492,8,20602
119805,6,15808
134314,11,11217
43294,3,35827
15861,1,40717
38580,3,32139
71577,5,28601
202793,15,2000
204137,14,2000
28241,3,34976
12510,1,39181
66015,5,30455
131676,10,11116
103897,7,20280
196758,15,2000
127926,14,4431
94348,7,21981
107715,11,13905
92263,9,18861
164305,15,2000
175821,15,2000
81406,10,19715
147922,10,9077
109334,12,8460
207028,13,2000
27562,3,36724
220000,15,2000
83502,7,24354
7708,1,43803
37570,4,33317
199110,13,2000
52486,4,31105
165244,14,2000
32290,5,28666
108317,7,21885
116732,7,22526
210860,13,2000
156928,15,2000
142526,11,8556
171994,13,2000
32725,4,34394
161866,13,2032
102743,7,18023
153023,11,9414
27666,3,37209
59060,6,25993
167717,12,6284
27164,2,37123
63646,10,16878
76160,13,12827
165321,14,2000
94732,9,18495
56271,5,30640
65830,6,27332
173520,12,3528
147107,12,4599
152029,12,3795
103730,12,12437
14359,4,36563
207323,14,2000
220000,14,2000
122578,11,9489
126232,10,15666
89679,7,22743
194258,12,2000
128002,9,14855
92681,7,25695
169945,14,3402
12150,1,38582
8401,1,39770
99371,9,13648
156370,11,4941
159820,14,2000
108997,9,16204
36238,4,30390
170478,13,2000
75110,9,18257
38174,3,36851
80723,7,24893
45850,6,32109
117389,8,16448
127493,11,11557
149867,9,12835
