name,age,income
User_96,47,102607
User_16,22,29491
User_31,22,24923
User_159,65,60581
User_129,45,89719
User_116,48,89189
User_70,22,25845
User_171,61,58196
User_175,67,75225
User_46,22,33507
User_67,24,28083
User_183,58,41008
User_166,62,54790
User_79,47,89175
User_187,66,60734
User_178,60,59466
User_57,21,27047
User_153,59,64861
User_83,41,103235
User_69,26,36067
User_125,45,91969
User_17,20,36577
User_149,63,52252
User_94,40,87180
User_66,30,39749
User_61,23,24246
User_85,46,89336
User_68,29,30389
User_126,46,80026
User_133,50,108957
User_10,27,22062
User_19,21,29351
User_56,28,42952
User_76,48,104107
User_151,61,60487
User_105,46,80596
User_136,40,100545
User_138,47,87797
User_165,61,63521
User_77,38,85726
User_80,46,95982
User_198,60,68830
User_39,19,33287
User_25,22,30039
User_123,46,56104
User_196,61,54246
User_30,23,30827
User_20,19,34566
User_144,57,53944
User_87,54,95771
User_115,43,76767
User_174,65,65674
User_6,24,36109
User_127,40,114588
User_118,44,86507
User_74,45,102816
User_141,62,51422
User_99,43,87058
User_173,65,69609
User_97,49,70698
User_170,61,51815
User_98,54,97237
User_32,32,29896
User_13,25,39389
User_36,20,34020
User_120,37,104295
User_43,24,32301
User_190,64,53384
User_91,40,86235
User_137,47,97388
User_52,23,27453
User_128,45,77838
User_163,64,57129
User_42,25,31867
User_119,40,100325
User_114,47,107389
User_27,20,33480
User_140,64,90376
User_101,40,85489
User_112,40,106014
User_3,27,31820
User_78,38,92158
User_47,23,31826
User_188,65,73009
User_192,58,61935
User_86,41,108067
User_162,59,70261
User_37,25,41430
User_191,61,50812
User_62,24,32342
User_23,25,28489
User_142,64,59949
User_102,40,93623
User_34,20,27988
User_12,23,33785
User_195,65,67435
User_160,64,51382
User_7,31,32435
User_28,26,33305
User_121,42,83876
User_5,24,18901
User_33,24,30286
User_143,68,59959
User_146,54,59856
User_110,58,99859
User_145,70,54231
User_11,23,30901
User_63,20,26688
User_113,39,120465
User_147,61,46415
User_167,67,59792
User_1,26,33806
User_199,63,57083
User_154,65,56720
User_71,46,101850
User_124,38,82707
User_65,28,27402
User_45,19,31038
User_164,64,61213
User_29,22,32025
User_41,27,22406
User_109,43,116185
User_156,59,49979
User_157,65,57851
User_26,25,24682
User_24,19,30361
User_185,57,51926
User_148,64,46740
User_82,46,72592
User_40,25,31627
User_169,64,58781
User_48,29,26156
User_95,49,120727
User_155,63,57847
User_44,23,44316
User_139,47,95837
User_4,31,39823
User_106,49,90985
User_54,27,24990
User_134,50,95122
User_181,62,51282
User_179,63,75518
User_186,57,59203
User_50,18,35759
User_81,46,122775
User_35,28,31193
User_8,28,30504
User_111,48,79869
User_92,48,97597
User_84,46,75647
User_177,64,64978
User_182,64,53204
User_90,48,103155
User_9,23,32458
User_14,18,29408
User_60,28,29482
User_172,66,61983
User_132,47,77769
User_18,26,33643
User_73,36,106448
User_176,62,51861
User_135,38,83221
User_168,59,58100
User_184,70,53793
User_64,20,34367
User_55,29,34934
User_108,52,87160
User_51,26,35955
User_197,58,44294
User_59,26,32498
User_49,26,37714
User_89,39,86416
User_22,24,36843
User_58,23,29168
User_161,58,62154
User_193,62,47438
User_130,39,96568
User_38,18,32872
User_158,63,55690
User_194,59,72651
User_2,24,39690
User_53,22,39013
User_150,59,56292
User_131,46,112295
User_152,60,69802
User_104,46,105389
User_100,41,105229
User_117,47,110202
User_88,47,82067
User_75,46,91216
User_122,49,94285
User_200,59,67902
User_21,30,32485
User_189,64,65603
User_72,51,108626
User_107,45,89300
User_15,18,27957
User_93,50,95546
User_180,61,51533
User_103,44,101059
