sqft,lotsize,bedrooms,bathrooms,stories,garage_cars,age,total_rooms,noise_index_1,noise_index_2,house_number,has_pool,has_central_ac,is_waterfront,distance_to_city_center_miles,property_tax_rate,year_built,noise_zip_last2,noise_random_score,price
2224,5745,3,1,1,0,45,5,9.756251023929972,8.838444422992056,622,0,1,0,3.8,1.23,1981,63,47.17,189169
1730,4792,3,2,1,0,19,6,86.19869084042723,11.707426091365656,884,1,1,0,23.6,1.0,2007,72,58.3,190455
2611,5971,5,3,2,3,46,9,46.016226448843966,10.264273442671962,551,0,1,0,16.1,1.26,1980,88,49.49,224872
2813,7284,4,3,3,1,36,8,74.92837126957764,12.661234071019178,530,0,1,0,9.0,1.29,1990,16,35.74,260773
1953,4648,3,1,1,1,45,5,29.05875598063551,10.390750568703488,892,0,0,0,4.3,1.28,1981,85,36.94,171652
1901,4648,3,3,1,2,8,6,78.69701349176663,11.984921662989054,705,0,1,0,20.1,1.36,2018,58,35.24,201866
2535,7368,3,2,2,1,29,6,11.193592702153031,9.871859399743006,812,0,1,0,15.9,1.33,1997,94,64.56,221523
2248,6151,3,1,1,3,32,4,35.597337379485275,8.819449033280435,632,1,1,0,13.8,1.27,1994,40,40.74,215356
1960,4295,3,2,1,2,44,6,97.80618179735283,12.961136111083777,951,0,1,1,22.5,1.19,1982,67,21.32,176887
2414,5813,4,3,1,0,18,8,79.39897163680061,8.581299424127867,822,0,0,0,19.9,0.95,2008,70,55.95,191191
1750,4304,2,2,1,1,6,5,49.72559303146882,10.687689646248598,751,0,1,0,4.6,1.26,2020,33,72.72,198731
1654,4301,2,1,1,2,18,4,33.97774715618851,11.537794726448949,392,1,1,0,8.5,1.23,2008,29,61.6,196274
1886,5362,2,2,1,3,19,6,87.21357000224765,11.682985408941711,909,0,0,1,7.0,1.24,2007,46,40.95,243748
913,2130,2,1,1,1,22,5,54.48477590845157,7.669114659559961,200,0,1,0,18.9,1.01,2004,13,26.2,90657
1696,2412,4,1,3,2,37,7,75.84250178691111,12.103900811656532,601,0,1,0,1.8,1.04,1989,29,47.99,147469
1989,4156,4,1,1,1,32,7,75.4107680316164,8.042089507785459,403,0,1,0,14.7,1.36,1994,69,47.61,153672
1500,3480,3,1,2,3,41,4,1.794567856849183,11.621407310699988,970,0,1,0,19.3,1.19,1985,33,35.46,119413
