,area,bedrooms,age,predicted prices
0,950,2.0,15,208221.6786755239
1,1400,3.0,8,293469.67911185656
2,1750,3.0,25,325254.20126222423
3,2100,4.0,30,379545.07298778807
4,2450,4.0,5,465833.79836133495
5,2800,4.0,12,510595.5117553167
6,3150,5.0,45,528550.247998761
7,3500,5.0,2,638197.9176108134
8,1100,2.0,40,198855.4493941365
9,1950,3.0,18,365107.23356961785
10,2600,4.0,10,482421.95156717574
11,3300,5.0,22,581474.5366867214
12,1600,4.0,14,323386.0828854112
13,2250,4.0,3,437660.23817319394
14,3800,5.0,50,622060.8972967614
