area,bedrooms,age,price
3974,5.0,29,663000
1660,2.0,13,301700
2094,3.0,46,331700
1930,3.0,35,329300
1895,4.0,6,315600
3892,5.0,18,695600
2438,,5,461500
2969,4.0,47,493400
1266,2.0,25,252900
2038,2.0,2,387300
1130,,10,221500
2282,3.0,30,384500
2935,5.0,50,521700
3971,5.0,45,662700
3719,5.0,5,726500
930,1.0,33,220500
2485,3.0,1,488800
1569,3.0,18,291000
3191,5.0,32,544600
2315,4.0,47,374300
3653,5.0,49,615900
3233,5.0,11,508300
2015,3.0,21,359200
1755,2.0,26,303900
3124,4.0,25,496100
1984,3.0,22,391500
1259,2.0,27,208400
821,1.0,49,147100
3100,5.0,13,653200
1547,,33,245900
3704,5.0,34,626700
1274,2.0,41,217000
1882,,35,320900
3358,4.0,1,623800
2847,5.0,21,558700
3547,5.0,48,616900
1775,3.0,6,334200
2606,,28,521100
989,1.0,17,144700
3805,5.0,5,646200
3534,5.0,31,615800
3805,5.0,5,679900
1362,,38,259500
2699,4.0,3,554000
2067,3.0,23,374500
3679,5.0,37,627800
2328,3.0,37,381400
1446,2.0,10,305100
2868,5.0,10,531000
3688,5.0,19,635800
3014,5.0,17,569600
2097,3.0,21,415500
3235,5.0,14,521300
1400,2.0,9,292900
3163,4.0,46,516100
2861,4.0,1,559900
1041,,45,166700
2841,5.0,13,572500
3624,,4,632700
3412,5.0,1,559700
3745,5.0,49,651900
2163,3.0,40,347500
2939,4.0,32,460900
2190,4.0,34,401700
3803,5.0,28,644400
2278,3.0,31,423500
3356,4.0,8,619800
1575,2.0,39,276500
834,,26,157600
3053,4.0,34,530600
3952,5.0,3,704900
2755,5.0,50,497800
2385,,12,426500
3873,5.0,1,679100
1821,3.0,44,335800
3413,5.0,5,659700
1929,3.0,30,380000
2300,,30,423500
1502,2.0,17,273000
3249,5.0,48,564200
3577,5.0,47,566300
2379,3.0,23,397200
961,2.0,15,259300
1001,,37,207500
2781,4.0,21,487800
1795,3.0,14,374800
3117,5.0,2,622800
1615,2.0,11,296700
1255,2.0,39,216000
2075,3.0,38,346100
1816,3.0,34,359800
3143,5.0,38,577400
3567,5.0,50,636000
1137,1.0,34,230000
1678,2.0,18,262200
1876,2.0,30,334100
1591,2.0,15,270500
3064,4.0,27,515900
1563,,34,264500
3035,5.0,38,558200
1179,,33,180000
1292,2.0,24,180700
3912,5.0,15,686600
