area,bedrooms,age,price
3974,5,29,663000
1660,2,13,301700
2094,3,46,331700
1930,3,35,329300
1895,4,6,315600
3892,5,18,695600
2438,3,5,461500
2969,4,47,493400
1266,2,25,252900
2038,2,2,387300
1130,2,10,221500
2282,3,30,384500
2935,5,50,521700
3971,5,45,662700
3719,5,5,726500
930,1,33,220500
2485,3,1,488800
1569,3,18,291000
3191,5,32,544600
2315,4,47,374300
3653,5,49,615900
3233,5,11,508300
2015,3,21,359200
1755,2,26,303900
3124,4,25,496100
1984,3,22,391500
1259,2,27,208400
821,1,49,147100
3100,5,13,653200
1547,3,33,245900
3704,5,34,626700
1274,2,41,217000
1882,3,35,320900
3358,4,1,623800
2847,5,21,558700
3547,5,48,616900
1775,3,6,334200
2606,3,28,521100
989,1,17,144700
3805,5,5,646200
3534,5,31,615800
3805,5,5,679900
1362,2,38,259500
2699,4,3,554000
2067,3,23,374500
3679,5,37,627800
2328,3,37,381400
1446,2,10,305100
2868,5,10,531000
3688,5,19,635800
3014,5,17,569600
2097,3,21,415500
3235,5,14,521300
1400,2,9,292900
3163,4,46,516100
2861,4,1,559900
1041,1,45,166700
2841,5,13,572500
3624,5,4,632700
3412,5,1,559700
3745,5,49,651900
2163,3,40,347500
2939,4,32,460900
2190,4,34,401700
3803,5,28,644400
2278,3,31,423500
3356,4,8,619800
1575,2,39,276500
834,2,26,157600
3053,4,34,530600
3952,5,3,704900
2755,5,50,497800
2385,4,12,426500
3873,5,1,679100
1821,3,44,335800
3413,5,5,659700
1929,3,30,380000
2300,4,30,423500
1502,2,17,273000
3249,5,48,564200
3577,5,47,566300
2379,3,23,397200
961,2,15,259300
1001,2,37,207500
2781,4,21,487800
1795,3,14,374800
3117,5,2,622800
1615,2,11,296700
1255,2,39,216000
2075,3,38,346100
1816,3,34,359800
3143,5,38,577400
3567,5,50,636000
1137,1,34,230000
1678,2,18,262200
1876,2,30,334100
1591,2,15,270500
3064,4,27,515900
1563,1,34,264500
3035,5,38,558200
1179,1,33,180000
1292,2,24,180700
3912,5,15,686600
1980,3,30,437500
2862,5,42,498400
864,1,17,181700
3368,5,5,669500
2167,2,29,385200
1952,4,4,407400
2827,5,10,548000
3495,5,17,628100
2295,4,10,408100
3934,5,17,641800
1962,3,20,423300
2322,4,24,436200
3440,5,5,629100
1191,1,34,204600
2498,3,6,480600
1218,1,2,322500
3136,5,13,590500
1178,2,43,196000
2596,4,43,444100
3078,5,48,560200
3865,5,11,661500
2888,5,47,528200
3899,5,23,600900
2982,4,16,525000
1000,2,31,220700
2663,3,11,512800
1579,3,16,292900
3777,5,8,624900
3904,5,4,684300
3919,5,40,620900
1302,3,4,287400
3254,5,25,577900
2551,3,3,428300
1604,2,32,309500
2946,4,3,536400
3531,4,27,629100
2695,3,29,404100
3573,5,32,584500
2370,4,50,424300
1760,2,19,297500
3460,5,21,606400
2285,3,5,428400
3490,5,18,623500
1828,3,28,318800
1302,2,42,236600
3614,5,22,608300
1197,2,21,260700
1670,3,6,337800
3642,5,1,663400
1192,1,5,316500
1006,2,41,158500
1838,2,12,381800
2681,5,26,417000
3739,5,46,560500
2284,3,34,359100
1663,3,49,257600
3590,5,14,643300
1363,2,26,266900
1820,3,45,311700
895,2,27,187100
2723,4,9,519200
2557,3,26,468400
3332,5,47,525000
3078,5,22,545900
3596,5,47,599700
2478,4,30,460500
1340,2,43,213100
1859,2,48,300800
3372,5,17,604300
1983,3,26,341900
2522,3,36,405600
3957,5,1,705800
2619,3,8,467900
3425,5,49,590600
3529,5,35,574000
3404,5,15,599500
2397,3,47,391000
3860,5,22,690600
3493,5,14,595400
1595,2,26,297700
1851,3,28,349900
2443,3,23,480100
2163,4,14,389200
2781,4,24,475200
2154,4,2,403200
2463,3,45,359200
2329,3,26,464400
2838,5,14,494700
2296,4,7,421300
3037,3,3,575400
2208,3,47,318800
2200,4,23,437400
2106,2,46,297800
3480,5,43,627300
3475,5,47,519700
1772,2,45,242000
2568,4,18,455400
2082,2,38,374800
1509,3,35,285800
2279,3,15,406500
2234,4,25,457600
1448,2,37,322700
1117,2,28,241700
2057,3,10,372300
1483,2,39,248200
1463,2,17,243500
2798,4,39,483800
2431,4,22,399300
2295,3,26,423300
1936,2,44,378800
2653,4,25,497400
2320,2,17,388000
3289,5,13,612000
1363,2,20,313400
2091,3,25,426400
3984,5,4,673200
2436,3,10,459300
3799,5,3,673800
3952,5,41,682400
1498,2,45,267700
2960,4,18,455500
801,1,47,128000
1441,2,36,264100
3067,4,47,466600
2389,4,22,459700
1654,2,34,244400
2559,4,47,414600
3232,5,8,633900
2461,4,40,406000
1953,4,49,368700
1876,3,44,275600
2507,3,19,506500
3577,5,42,595400
2495,4,41,439100
2533,5,37,469300
2239,3,6,439100
3094,5,26,509000
1635,2,34,287300
1002,2,45,167000
922,1,6,149800
1200,1,37,234900
1566,3,33,286400
1093,1,22,214100
3127,4,21,552100
3731,5,6,655700
997,2,6,288200
3829,5,48,631800
