age,have_insurance
56,1
69,1
46,0
32,0
60,1
25,0
38,0
56,1
36,0
40,0
28,0
28,0
41,1
70,1
53,1
57,1
41,1
20,0
39,0
70,1
19,0
41,1
61,1
47,1
55,1
19,0
38,1
50,1
29,0
39,1
61,1
42,1
66,1
44,1
59,1
45,1
33,0
32,0
64,1
68,1
61,1
69,1
20,0
54,1
68,1
24,0
38,1
26,0
56,1
35,0
21,0
42,1
31,0
67,1
26,0
43,1
70,1
19,0
37,0
45,1
64,1
24,0
61,1
25,0
64,1
52,1
31,0
34,0
53,1
67,1
57,1
21,0
19,0
23,0
59,1
21,0
46,1
35,0
43,1
61,1
51,1
27,0
53,1
31,0
48,1
65,1
32,1
25,0
31,0
40,0
57,1
38,1
33,0
62,1
35,0
64,1
70,1
41,1
43,1
42,1
62,1
58,1
46,1
32,0
62,1
18,0
42,1
24,0
26,0
41,1
18,0
61,1
25,0
41,1
28,0
68,1
34,0
25,0
52,1
52,1
50,1
22,0
59,1
56,1
58,1
45,1
24,0
26,0
25,0
29,0
51,1
50,1
65,1
40,1
41,0
54,1
52,1
61,1
57,1
39,0
44,1
52,1
18,0
52,1
54,1
64,1
31,0
20,0
18,0
22,0
43,1
31,0
56,1
44,1
26,0
32,0
32,0
43,0
59,1
30,0
68,1
49,1
56,1
66,1
69,1
49,1
21,0
47,1
54,1
40,0
56,1
62,1
32,0
60,1
46,1
53,1
30,0
49,1
24,0
68,1
39,1
45,1
19,0
59,1
62,1
70,1
23,0
45,1
45,1
61,1
61,1
37,0
47,1
28,0
45,1
42,1
56,1
50,1
18,0
44,1
