length_cm,width_cm,height_cm,weight_kg,surface_area_sqcm,length_inches,weight_lbs,sensor_temp_c,sensor_vibration_hz,random_noise_1,random_noise_2,passed_inspection
54.97,33.7,19.6,36.67,7188.45,21.78,80.87,84.84,26.9,54.42,0.59,1
48.62,30.29,18.55,26.85,5867.47,19.23,59.12,72.73,26.8,73.2,-2.94,0
56.48,36.05,22.6,46.45,8255.26,22.24,102.43,104.48,27.07,99.35,0.66,1
65.23,41.25,26.16,71.07,10947.71,25.62,156.79,139.62,30.69,21.83,0.19,1
47.66,25.84,18.39,22.85,5161.63,18.83,50.39,68.54,18.26,34.73,-0.02,0
47.66,26.72,20.0,26.4,5518.53,18.8,58.22,67.54,17.49,45.51,-0.39,1
65.79,40.51,24.72,65.48,10586.46,25.99,144.21,126.94,32.44,47.96,1.12,1
57.67,35.63,22.86,46.35,8370.6,22.77,102.05,106.26,31.02,46.99,0.95,1
45.31,28.21,18.3,22.51,5260.13,17.94,49.33,62.28,22.53,91.68,-0.77,1
55.43,40.96,22.94,52.83,8954.19,21.77,116.83,106.99,33.08,74.26,0.41,1
45.37,28.36,19.21,25.05,5404.54,17.99,54.97,70.34,21.01,64.71,-0.97,0
45.34,29.48,16.45,21.96,5130.29,17.87,48.27,64.29,21.07,37.84,-1.38,0
52.42,33.36,18.67,32.78,6714.32,20.85,72.13,82.64,29.13,84.14,-0.63,1
30.87,19.82,14.26,8.16,2671.76,12.08,18.18,40.99,14.52,95.96,0.86,0
32.75,19.02,13.6,9.69,2664.2,13.07,21.31,35.9,13.76,83.91,0.95,0
44.38,28.14,16.63,20.83,4894.85,17.49,46.18,63.28,29.03,10.14,0.51,1
39.87,22.38,18.28,16.36,4062.37,15.63,35.93,51.7,16.07,67.28,0.73,0
53.14,31.41,21.43,36.14,6971.59,20.87,79.72,86.68,22.33,14.6,0.52,1
40.92,23.58,18.14,17.74,4270.38,16.08,38.95,58.61,16.02,33.18,-0.64,0
35.88,21.69,14.45,11.36,3230.91,14.17,25.47,43.85,18.93,15.36,0.43,0
64.66,43.42,28.95,80.89,11868.63,25.51,178.11,150.41,33.52,64.34,0.8,1
47.74,24.91,21.73,26.08,5550.18,18.74,57.56,72.71,13.66,71.79,0.75,0
50.68,31.78,19.9,32.98,6524.75,19.95,72.84,79.02,26.85,20.3,1.19,1
35.75,18.23,15.76,10.94,3000.86,14.29,24.2,39.21,10.83,44.55,0.71,0
44.56,25.79,18.79,22.39,4937.42,17.71,49.32,59.38,22.72,51.06,0.35,0
51.11,32.84,22.5,37.51,7149.04,20.17,82.66,80.0,27.04,43.21,1.07,0
38.49,23.22,13.95,11.97,3525.09,15.16,26.4,51.33,17.68,20.89,-0.03,0
53.76,30.1,22.53,36.39,7009.65,21.18,80.21,83.37,24.4,47.71,-0.88,1
43.99,24.97,19.19,21.1,4838.42,17.38,46.71,59.85,18.01,77.61,-0.16,0
47.08,29.61,16.2,23.12,5269.42,18.43,51.42,64.59,26.18,16.39,-0.74,0
43.98,24.93,15.82,16.5,4359.6,17.29,36.26,55.91,20.48,17.22,-0.68,0
68.52,41.55,24.35,70.09,11045.03,26.81,154.24,141.37,31.83,41.93,-0.14,1
49.87,30.01,19.54,29.16,6104.7,19.67,64.28,77.47,21.95,94.76,-0.79,1
39.42,22.35,16.85,14.63,3835.77,15.59,32.77,47.34,18.22,70.17,-0.31,0
58.23,39.22,25.54,57.83,9545.62,22.88,127.33,115.48,29.7,71.08,-1.89,1
37.79,23.94,15.23,12.95,3692.16,15.04,28.88,46.62,17.92,42.57,0.21,0
52.09,27.2,23.28,33.4,6540.99,20.38,73.96,81.0,16.37,63.43,0.0,1
30.4,18.61,10.09,5.75,2111.23,11.82,12.56,36.04,16.28,10.91,-0.82,0
