area,price
1460,242000
1894,343200
1730,295500
1695,285100
2238,387000
2769,480500
1066,211000
1838,324400
930,219100
2082,356300
2735,438800
730,172700
2285,374900
1369,239300
2991,515500
2115,349400
3453,484300
3033,498400
1815,303300
1555,268200
2924,485300
1784,304500
1059,208900
621,89500
2900,446900
1347,280400
1074,205300
1682,252100
3158,481100
2647,409000
3347,537900
1575,267600
2406,382400
789,164500
3334,545400
1162,212000
2499,398000
1867,310200
3479,563000
2128,358400
1246,249900
2668,408100
3488,536400
2814,477400
1897,305000
3035,524700
1200,259100
2963,514400
2661,413800
841,173900
2641,420600
3424,569600
3212,558400
1963,356500
2739,447400
1990,329400
2078,367500
3156,477000
1375,262800
634,119100
2853,479200
2555,416500
2185,357100
1621,262900
3213,507000
1729,314600
2100,380600
1302,252000
3049,526200
3377,603100
2179,357800
761,155200
801,130100
2581,454000
1595,313800
2917,451300
1415,270600
1055,233400
1875,327500
1616,305500
2943,481100
3367,507800
937,212100
1478,297400
1676,311400
1391,227800
2864,446500
1363,219400
2835,480300
979,223700
1092,219000
1780,331600
2662,414300
664,149900
3168,475100
1967,315900
1752,326000
2627,424900
3295,558000
2095,367200
1762,373900
2122,360000
3240,484600
991,192800
2298,359100
1018,222000
2936,476800
978,188400
2396,394300
2878,485800
2688,428400
2782,472800
800,192100
2463,398600
1379,226800
1102,197000
3054,510600
2351,393200
1404,269300
2746,492200
3331,538800
2495,391600
3373,565500
2170,365900
1560,298000
3260,549400
2085,328300
3290,561600
1628,308700
1102,194700
3414,552600
997,201000
1470,263700
3442,570900
992,229800
806,167100
1638,320800
2481,434500
2084,358000
1463,266500
3390,512700
1163,181100
1620,289000
695,129400
2523,414800
2357,378400
3132,459400
2878,476200
3396,532100
2278,382300
